date,DailyPrice,DlyRet,DlyRetx,vwretd,vwretx,ewretd,ewretx,sprtrn
2000-05-19,70.0625,-0.041061,-0.041061,-0.024081,-0.024109,-0.015357,-0.015384,-0.021055
2000-05-22,67.8125,-0.032114,-0.032114,-0.007917,-0.00792,-0.015313,-0.015344,-0.0044280000000000005
2000-05-23,62.625,-0.076498,-0.076498,-0.023379,-0.023394,-0.014363999999999997,-0.014403,-0.019176
2000-05-24,64.25,0.025948,0.025948,0.015412,0.01536,-0.00883,-0.008955,0.018335
2000-05-25,66.4375,0.034047,0.034047,-0.011616,-0.011642,-0.005172,-0.005231,-0.01253
2000-05-26,67.0,0.008467,0.008467,-0.0017870000000000004,-0.001861,-0.00273,-0.002836,-0.002533
2000-05-30,74.1875,0.107276,0.107276,0.037875,0.03779,0.021615,0.021529,0.032242
2000-05-31,71.875,-0.031171,-0.031171,-0.0017399999999999998,-0.001893,0.002846,0.002774,-0.001301
2000-06-01,77.875,0.083478,0.083478,0.025195,0.02517,0.019431,0.019358,0.019858
2000-06-02,80.1875,0.029695,0.029695,0.029096,0.029094,0.030798,0.030783,0.019637
2000-06-05,80.9375,0.009353,0.009353,-0.003705,-0.003717,0.007911,0.007895000000000001,-0.006519
2000-06-06,77.0625,-0.047876,-0.047876,-0.007927,-0.007937,0.0026920000000000004,0.002675,-0.006670999999999999
2000-06-07,80.0,0.038118,0.038118,0.011114,0.011004,0.008723999999999999,0.008587000000000001,0.009274
2000-06-08,82.375,0.029688,0.029688,-0.00512,-0.005147,0.001024,0.0009789999999999998,-0.006586
2000-06-09,82.6875,0.003794,0.003794,0.001025,0.001023,0.010069,0.010046,-0.003229
2000-06-12,80.5625,-0.025699,-0.025699,-0.011024,-0.011039,-0.006039,-0.006068,-0.007515999999999998
2000-06-13,81.6875,0.013964,0.013964,0.014502,0.014365,0.002502,0.002268,0.01621
2000-06-14,79.0,-0.0329,-0.0329,-0.0008439999999999999,-0.0008880000000000002,0.000553,0.000446,0.000749
2000-06-15,82.5,0.044304,0.044304,0.0049700000000000005,0.004961999999999999,-0.002757,-0.002815,0.005569
2000-06-16,81.875,-0.007576,-0.007576,-0.006716,-0.006803,-0.001281,-0.001343,-0.00965
2000-06-19,86.0,0.050382,0.050382,0.016156,0.016138999999999997,0.0031780000000000003,0.003131,0.014709
2000-06-20,86.04688,0.000545,0.000545,-0.00243,-0.002434,-2.9e-05,-5e-05,-0.006763
2000-06-21,86.1875,0.001634,0.001634,0.003636,0.003624,0.003102,0.00306,0.002155
2000-06-22,81.5,-0.054387,-0.054387,-0.018904,-0.018932,-0.006828,-0.006858,-0.01822
2000-06-23,79.5,-0.02454,-0.02454,-0.009194,-0.009197,-0.002647,-0.00266,-0.007368
2000-06-26,82.6875,0.040094,0.040094,0.009773,0.009766,0.003297,0.003285,0.009594
2000-06-27,82.25,-0.005291,-0.005291,-0.0053,-0.005301,-0.002669,-0.002689,-0.003271
2000-06-28,82.9375,0.008359,0.008359,0.007520999999999998,0.007349,0.0095,0.009075,0.002944
2000-06-29,80.875,-0.024868,-0.024868,-0.006933,-0.006942,-0.001189,-0.001233,-0.008544
2000-06-30,84.0625,0.039413,0.039413,0.0074,0.0073799999999999985,0.003372,0.00333,0.008465
2000-07-03,80.1875,-0.046097000000000006,-0.046097000000000006,0.010019,0.00998,0.009012,0.008856999999999999,0.010271
2000-07-05,72.3125,-0.098207,-0.098207,-0.015790000000000002,-0.015988,-0.006561,-0.006642,-0.015862
2000-07-06,75.625,0.045808,0.045808,0.008412000000000001,0.008317,0.004416,0.004349,0.007219
2000-07-07,75.875,0.0033060000000000003,0.0033060000000000003,0.014433,0.014421000000000003,0.005068,0.005057,0.015261000000000004
2000-07-10,74.125,-0.023064,-0.023064,-0.001199,-0.001201,0.002205,0.002189,-0.002218
2000-07-11,72.3125,-0.024452,-0.024452,0.002003,0.001978,0.000474,0.000465,0.003565
2000-07-12,74.6875,0.032844,0.032844,0.013263999999999998,0.013194999999999998,0.011108,0.01083,0.00813
2000-07-13,75.75,0.014226,0.014226,0.005768,0.005744,0.004407,0.004301,0.001956
2000-07-14,76.125,0.00495,0.00495,0.009675,0.009673,0.006723000000000001,0.006706999999999999,0.009453
2000-07-17,76.125,0.0,0.0,0.001402,0.001401,0.005166,0.005161,0.000338
2000-07-18,74.1875,-0.025452,-0.025452,-0.012818,-0.012828999999999998,-0.004605,-0.00464,-0.011089
2000-07-19,73.75,-0.005897,-0.005897,-0.011338,-0.011378,-0.006790000000000001,-0.006847,-0.007886
2000-07-20,78.125,0.059322,0.059322,0.01325,0.01324,0.004779,0.004743,0.009184
2000-07-21,75.4375,-0.0344,-0.0344,-0.011642,-0.011651,-0.008244,-0.008264,-0.010284
2000-07-24,75.0,-0.0058,-0.0058,-0.013586,-0.013625,-0.009734,-0.009746,-0.010742
2000-07-25,76.0,0.013333,0.013333,0.005435,0.00543,-0.001802,-0.001815,0.006952
2000-07-26,76.75,0.009868,0.009868,-0.01171,-0.011726,-0.004929,-0.004972,-0.014954
2000-07-27,75.0625,-0.021987,-0.021987,-0.009848,-0.009935,-0.013481,-0.013647,-0.001928
2000-07-28,72.375,-0.035802999999999995,-0.035802999999999995,-0.023334,-0.023375,-0.016312,-0.016381,-0.020509
2000-07-31,75.1875,0.038860000000000006,0.038860000000000006,0.010123,0.010115,0.0072,0.007184,0.007705
2000-08-01,73.125,-0.027431,-0.027431,0.001448,0.001443,-0.003007,-0.003032,0.005081
2000-08-02,73.125,0.0,0.0,0.0006900000000000001,0.000603,0.000405,0.00029,0.000417
2000-08-03,77.4375,0.058974,0.058974,0.010131,0.010046,-0.001755,-0.00182,0.009634
2000-08-04,81.5625,0.053269,0.053269,0.009086,0.009069,0.008054,0.008034999999999999,0.007139
2000-08-07,81.875,0.003831,0.003831,0.012497,0.012483,0.006597,0.006562,0.011203
2000-08-08,83.0,0.01374,0.01374,0.001074,0.001006,0.00014199999999999998,7.3e-05,0.002353
2000-08-09,81.375,-0.019578,-0.019578,-0.005173,-0.005259000000000001,-3e-06,-9.1e-05,-0.006697
2000-08-10,80.0625,-0.016128999999999998,-0.016128999999999998,-0.009367,-0.009472,-0.004763,-0.004799,-0.008568000000000001
2000-08-11,81.125,0.013271000000000002,0.013271000000000002,0.008345,0.008276,0.006000999999999999,0.005837,0.007937
2000-08-14,82.375,0.015408000000000003,0.015408000000000003,0.012661,0.012627,0.005693999999999999,0.005658,0.013397999999999998
2000-08-15,81.25,-0.013657,-0.013657,-0.003819,-0.003825,-0.001372,-0.001395,-0.00478
2000-08-16,81.1875,-0.000769,-0.000769,-0.001037,-0.001141,0.002054,0.001935,-0.003085
2000-08-17,83.9375,0.033872,0.033872,0.011605,0.011593,0.0051990000000000005,0.005166,0.010961
2000-08-18,81.3125,-0.031273,-0.031273,-0.002649,-0.00268,0.001255,0.001236,-0.002908
2000-08-21,83.1875,0.023059,0.023059,0.003793,0.003775,0.002064,0.002033,0.005202
2000-08-22,83.5625,0.004508,0.004508,0.000292,0.00029,0.002023,0.002016,-0.0009
2000-08-23,82.875,-0.008227,-0.008227,0.00503,0.004965,0.002525,0.0024530000000000003,0.005233
2000-08-24,84.6875,0.02187,0.02187,0.0035060000000000004,0.0034950000000000003,0.005379999999999999,0.005335,0.0015539999999999998
2000-08-25,84.625,-0.0007379999999999999,-0.0007379999999999999,8.4e-05,7.5e-05,0.005936,0.005924,-0.001233
2000-08-28,86.75,0.025111,0.025111,0.004815,0.004804,0.005076,0.005069,0.005072
2000-08-29,87.75,0.011527,0.011527,-0.0006580000000000001,-0.000725,0.004756,0.004671,-0.002807
2000-08-30,88.25,0.005698,0.005698,-0.000758,-0.000973,0.005594,0.005451,-0.004802000000000001
2000-08-31,90.9375,0.030453,0.030453,0.011971,0.011957,0.011379,0.011341,0.010043
2000-09-01,92.625,0.018557,0.018557,0.004986,0.004971,0.007552,0.0075260000000000014,0.002036
2000-09-05,91.0625,-0.016869,-0.016869,-0.008874,-0.008877,-6.6e-05,-0.000114,-0.009002
2000-09-06,89.25,-0.019904,-0.019904,-0.012165,-0.01225,-0.001757,-0.00186,-0.00984
2000-09-07,91.1875,0.021709,0.021709,0.007519,0.007490000000000002,0.006189,0.006144,0.006876
2000-09-08,86.5625,-0.05072,-0.05072,-0.008837000000000001,-0.008844,-0.005485,-0.005516,-0.005331
2000-09-11,83.4375,-0.036101,-0.036101,-0.004717,-0.004726,-0.00339,-0.003403,-0.0035060000000000004
2000-09-12,79.375,-0.048689,-0.048689,-0.005147,-0.005162,-0.002043,-0.002066,-0.004882
2000-09-13,81.8125,0.030709,0.030709,0.003437,0.003222,0.000306,1.4e-05,0.00197
2000-09-14,84.9375,0.038197,0.038197,0.001404,0.001375,0.004782,0.004706,-0.002721
2000-09-15,78.3125,-0.077999,-0.077999,-0.011251,-0.011259,-0.005812,-0.005836,-0.01017
2000-09-18,76.46875,-0.023543,-0.023543,-0.018458,-0.018481,-0.018946,-0.018986000000000003,-0.014531
2000-09-19,79.3125,0.037188,0.037188,0.012571,0.012567,0.003351,0.00334,0.010654
2000-09-20,79.9375,0.00788,0.00788,-0.004483,-0.004507,-0.005825,-0.005876,-0.005863
2000-09-21,78.9375,-0.01251,-0.01251,-0.005631000000000001,-0.005652,-0.006886,-0.006923,-0.001578
2000-09-22,80.73438,0.022763,0.022763,0.004009,0.004005,-0.002141,-0.002157,-0.000228
2000-09-25,78.75,-0.024579,-0.024579,-0.004854,-0.004857,-0.004162,-0.004169,-0.006689
2000-09-26,79.4375,0.00873,0.00873,-0.009139,-0.009149,-0.009678,-0.009696,-0.008214
2000-09-27,79.875,0.005507,0.005507,-0.002495,-0.00267,-0.00702,-0.007398,-0.0004480000000000001
2000-09-28,81.48438,0.020149,0.020149,0.022718,0.022709,0.014475,0.014435,0.022235
2000-09-29,78.75,-0.033557,-0.033557,-0.012354,-0.012434,0.000786,0.0007740000000000001,-0.014935
2000-10-02,78.75,0.0,0.0,-0.005967,-0.0059770000000000005,-0.011865,-0.0119,-0.000195
2000-10-03,69.5,-0.11746,-0.11746,-0.012101,-0.012123,-0.009384,-0.009437,-0.006803
2000-10-04,68.125,-0.019784,-0.019784,0.006403,0.00629,-0.001517,-0.001615,0.00551
2000-10-05,68.3125,0.002752,0.002752,-0.001192,-0.0013310000000000002,-0.00579,-0.005834000000000001,0.001367
2000-10-06,67.625,-0.010064,-0.010064,-0.021602,-0.021605000000000003,-0.017421000000000002,-0.017436,-0.019001
2000-10-09,66.75,-0.012939,-0.012939,-0.0034340000000000004,-0.0034340000000000004,-0.005917,-0.005917,-0.00494
2000-10-10,64.625,-0.031835,-0.031835,-0.014331,-0.014365,-0.011671,-0.011691,-0.010706
2000-10-11,62.25,-0.03675,-0.03675,-0.017175,-0.017234,-0.017666,-0.017825,-0.016171
2000-10-12,63.0,0.012048,0.012048,-0.027423000000000003,-0.027452,-0.020794,-0.020884,-0.025509
2000-10-13,35.625,0.130952,0.130952,0.03863,0.03862,0.021597,0.021535,0.033381
2000-10-16,34.5625,-0.029825,-0.029825,0.002233,0.002233,0.002151,0.002134,0.000327
2000-10-17,33.6875,-0.025316,-0.025316,-0.019825,-0.019828,-0.018506,-0.01852,-0.017932
2000-10-18,33.5625,-0.003711,-0.003711,-0.008593,-0.008648000000000001,-0.011103,-0.011162,-0.005808
2000-10-19,36.375,0.083799,0.083799,0.03702,0.037007,0.025743,0.025726,0.034743
2000-10-20,35.25,-0.030928,-0.030928,0.009775,0.009772,0.013472,0.01345,0.005883
2000-10-23,34.0625,-0.033688,-0.033688,0.000144,0.000133,0.006074,0.006062,-0.0008230000000000001
2000-10-24,35.8125,0.051376,0.051376,-0.00098,-0.000989,0.001383,0.001362,0.001684
2000-10-25,34.375,-0.04014,-0.04014,-0.02745,-0.027468,-0.015678,-0.015712,-0.023767
2000-10-26,34.0625,-0.009091,-0.009091,0.000603,0.000592,0.000763,0.000723,-0.000337
2000-10-27,34.1875,0.00367,0.00367,0.008625,0.008549,0.005739,0.005553,0.011096
2000-10-30,31.625,-0.07495399999999999,-0.07495399999999999,0.0067150000000000005,0.006636,-0.000126,-0.000205,0.01383
2000-10-31,33.0,0.043478,0.043478,0.028395,0.028386,0.02184,0.021818,0.021978
2000-11-01,31.375,-0.049242,-0.049242,-0.004313,-0.004411,0.00162,0.001484,-0.005723
2000-11-02,29.5625,-0.057769000000000015,-0.057769000000000015,0.010033,0.009967,0.014672,0.014615,0.004996
2000-11-03,30.3125,0.02537,0.02537,0.0005480000000000001,0.000525,0.004919,0.004903,-0.001141
2000-11-06,27.9375,-0.078351,-0.078351,0.001272,0.001246,0.000191,0.000148,0.003855
2000-11-07,26.5625,-0.049217,-0.049217,-0.000987,-0.001006,0.001529,0.001511,-0.000223
2000-11-08,24.8125,-0.06588200000000001,-0.06588200000000001,-0.018907,-0.018995,-0.009612,-0.00972,-0.015777
2000-11-09,27.1875,0.095718,0.095718,-0.009808,-0.009944,-0.011622,-0.011645,-0.006486
2000-11-10,25.4375,-0.064368,-0.064368,-0.026389,-0.026402,-0.017457,-0.017499,-0.024398
2000-11-13,24.75,-0.027027,-0.027027,-0.013356,-0.01346,-0.012691,-0.01286,-0.010776
2000-11-14,28.375,0.146465,0.146465,0.02607,0.026018,0.015999,0.015964,0.023452
2000-11-15,28.875,0.017621,0.017621,0.005432,0.00532,-0.000117,-0.000191,0.00496
2000-11-16,27.375,-0.051948,-0.051948,-0.016411000000000002,-0.016453,-0.013759,-0.013880000000000002,-0.012585
2000-11-17,28.8125,0.052511,0.052511,-0.004486,-0.004526,-0.001538,-0.001567,-0.0033520000000000004
2000-11-20,24.75,-0.140998,-0.140998,-0.023896,-0.023907,-0.020682,-0.020739,-0.018352
2000-11-21,23.875,-0.035354000000000003,-0.035354000000000003,0.000294,0.000231,-0.01147,-0.011535,0.003523
2000-11-22,22.3125,-0.065445,-0.065445,-0.020858,-0.020868,-0.019105,-0.019122,-0.018548
2000-11-24,24.125,0.081232,0.081232,0.021101,0.02109,0.020302,0.020294,0.014678
2000-11-27,23.125,-0.041451,-0.041451,0.003675,0.003667,-0.004631000000000001,-0.004667,0.005365999999999999
2000-11-28,22.65625,-0.02027,-0.02027,-0.016877,-0.016968,-0.022906,-0.022997,-0.009548
2000-11-29,22.875,0.009655,0.009655,0.00064,0.000405,-0.013996,-0.014141999999999997,0.004371
2000-11-30,26.5,0.15847,0.15847,-0.019168,-0.019176,-0.019429,-0.01946,-0.020105
2000-12-01,26.4375,-0.002358,-0.002358,0.006217,0.006213000000000001,0.018330000000000003,0.018295,0.000213
2000-12-04,28.1875,0.066194,0.066194,0.003689,0.003682,-0.010946,-0.010971,0.007406
2000-12-05,31.5,0.117517,0.117517,0.04536,0.045349,0.027516,0.027498,0.038922000000000005
2000-12-06,30.1875,-0.041667,-0.041667,-0.016468,-0.016638,-0.007808,-0.007929,-0.01822
2000-12-07,28.3125,-0.062112,-0.062112,-0.005876,-0.005914,-0.007393999999999999,-0.007437,-0.005853
2000-12-08,30.0625,0.06181,0.06181,0.028504,0.028491,0.025983,0.025949,0.019605
2000-12-11,31.9375,0.06237,0.06237,0.011986,0.011975,0.012066,0.012037,0.0075260000000000014
2000-12-12,30.75,-0.037182,-0.037182,-0.010891,-0.010906,-0.006372,-0.006409999999999999,-0.006534999999999999
2000-12-13,28.375,-0.077236,-0.077236,-0.011568,-0.01179,-0.006033,-0.0063950000000000005,-0.008161
2000-12-14,27.5,-0.030837,-0.030837,-0.016984,-0.017002,-0.013284,-0.013344,-0.014015
2000-12-15,28.5625,0.038636,0.038636,-0.017778,-0.017795,-0.010913,-0.010938,-0.021463
2000-12-18,32.0,0.12035,0.12035,0.0054210000000000005,0.005371,-0.009959,-0.010125,0.008071
2000-12-19,30.625,-0.042969,-0.042969,-0.015778,-0.015792,-0.01454,-0.014612,-0.012958
2000-12-20,28.5,-0.069388,-0.069388,-0.035199,-0.035254,-0.037619,-0.037749,-0.031296
2000-12-21,29.5,0.035088,0.035088,0.005463,0.005451,-0.005028,-0.005065,0.008002
2000-12-22,31.875,0.08050800000000001,0.08050800000000001,0.030143,0.030141,0.02626,0.026251,0.024403
2000-12-26,30.9375,-0.029412,-0.029412,0.005522999999999999,0.005514,-0.005792,-0.005825,0.00706
2000-12-27,30.6875,-0.008081,-0.008081,0.013911,0.013651,0.010868,0.010334,0.01044
2000-12-28,31.0625,0.01222,0.01222,0.009406,0.009377,0.022114,0.022075,0.003988
2000-12-29,29.0625,-0.064386,-0.064386,-0.011225,-0.01123,0.016053,0.016009,-0.010448
2001-01-02,26.375,-0.092473,-0.092473,-0.034230000000000003,-0.034236,-0.001135,-0.001155,-0.028032
2001-01-03,32.0,0.21327,0.21327,0.05317,0.053061,0.046223,0.046158,0.050099
2001-01-04,32.5625,0.017578,0.017578,-0.011674,-0.0117,0.011358,0.011317,-0.010552
2001-01-05,30.125,-0.07485599999999999,-0.07485599999999999,-0.028909,-0.028914,-0.008606,-0.008625,-0.026242
2001-01-08,29.9375,-0.006224,-0.006224,-0.0034100000000000003,-0.003574000000000001,-0.005051,-0.005081,-0.001918
2001-01-09,31.5,0.052192,0.052192,0.004794,0.004764,0.011814,0.011797,0.003812
2001-01-10,32.75,0.039683,0.039683,0.01393,0.013841999999999998,0.020662,0.020479,0.009586
2001-01-11,33.3125,0.017176,0.017176,0.015063,0.015052,0.027183,0.027113,0.010318
